,DN,Agencia_Capitania,Registro,UF,tipo,N_Tipo
687,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",50
688,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Multipurpose,1
689,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Outros,250
690,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Passageiro,5
691,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Passageiro / Carga Geral,2
692,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Pesqueiro,821
693,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Pesquisa,1
694,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Rebocador,13
695,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Saveiro,3
696,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Supridor (Supply),6
697,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Transporte de Gases Liquefeitos,2
698,3º ,Capitania dos Portos do Ceará,CPFTZA,CE,Veleiro,53
699,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Balsa,110
700,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Batelão,1
701,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Bote,916
702,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Caiaque,5
703,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Caique,1
704,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Canoa,435
705,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Carga Geral,14
706,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Chata,5
707,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Draga,6
708,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Escuna,6
709,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Flutuante,10
710,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Graneleiro,1
711,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Hovercraft,1
712,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Iate,5
713,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Jangada,1276
714,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Jet Boat,12
715,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Lancha,934
716,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Manuseio de Âncora (AHTS),4
717,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Moto-Aquática/similar,865
718,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",75
719,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Multipurpose,1
720,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Outros,705
721,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Passageiro,36
722,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Passageiro / Carga Geral,1
723,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Pesqueiro,411
724,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Pesquisa,1
725,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Rebocador,6
726,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Saveiro,2
727,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Supridor (Supply),1
728,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Traineira,1
729,3º ,Capitania dos Portos do Rio Grande do Norte,CPNATL,RN,Veleiro,63
730,4º ,Agencia da Capitania dos Portos no Oiapoque,AGOQUE,AP,Canoa,181
731,4º ,Agencia da Capitania dos Portos no Oiapoque,AGOQUE,AP,Carga Geral,5
732,4º ,Agencia da Capitania dos Portos no Oiapoque,AGOQUE,AP,Flutuante,1
733,4º ,Agencia da Capitania dos Portos no Oiapoque,AGOQUE,AP,Lancha,90
734,4º ,Agencia da Capitania dos Portos no Oiapoque,AGOQUE,AP,Passageiro,6
735,4º ,Agencia da Capitania dos Portos no Oiapoque,AGOQUE,AP,Passageiro / Carga Geral,5
736,4º ,Agencia da Capitania dos Portos no Oiapoque,AGOQUE,AP,Pesqueiro,110
737,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Balsa,68
738,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Barcaça,591
739,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Bote,437
740,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Caiaque,1
741,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Caique,3
742,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Canoa,2707
743,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Carga Geral,3
744,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Chata,600
745,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Draga,108
746,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Empurrador,12
747,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Escuna,1
748,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Flutuante,23
749,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Iate,3
750,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Jangada,1
751,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Jet Boat,51
752,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Lancha,1584
753,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Moto-Aquática/similar,616
754,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",7
755,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Outros,27
756,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Passageiro,71
757,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Passageiro / Carga Geral,235
758,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Pesqueiro,4
759,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Pesquisa,1
760,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Rebocador,66
761,4º ,Agência Fluvial de Imperatriz,AGIMPE,MA,Veleiro,1
762,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Alvarenga,3
763,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Apoio à Manobra,12
764,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Apoio a Mergulho,2
765,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Balsa,694
766,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Barcaça,390
767,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Bote,22
768,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Cábrea,5
769,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Canoa,65
770,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Carga Geral,2434
771,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Chata,46
772,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Curral,1
773,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Draga,30
774,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Empurrador,233
775,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Escuna,5
776,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Flutuante,89
777,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Graneleiro,25
778,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Hidroavião,1
779,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Hovercraft,2
780,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Iate,21
781,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Jangada,1
782,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Jet Boat,21
783,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Lancha,3604
784,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Manuseio de Linhas,1
785,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Moto-Aquática/similar,1616
786,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",6
787,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Outros,248
788,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Passageiro,1180
789,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Passageiro / Carga Geral,4283
790,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Pesqueiro,6758
791,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Pesquisa,3
792,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Petroleiro,9
793,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Porta-Contentor,3
794,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Rebocador,513
795,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Roll-on / Roll-off Carga ,4
796,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Roll-on / Roll-off Passageiro (Ferry Boat),36
797,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Saveiro,2
798,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Tanque (transporte de granéis líquidos),2
799,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Transporte de Gases Liquefeitos,8
800,4º ,Capitania dos Portos da Amazônia Oriental,CPBLEM,PA,Veleiro,52
801,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Alvarenga,1
802,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Apoio à Manobra,4
803,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Balsa,119
804,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Barcaça,1106
805,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Batelão,1
806,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Bote,12
807,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Cábrea,1
808,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Canoa,1029
809,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Carga Geral,4039
810,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Chata,1
811,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Curral,4
812,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Draga,5
813,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Empurrador,29
814,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Flutuante,22
815,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Iate,32
816,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Jangada,3
817,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Jet Boat,4
818,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Lancha,2831
819,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Moto-Aquática/similar,386
820,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",4
821,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Outros,46
822,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Passageiro,554
823,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Passageiro / Carga Geral,2669
824,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Passageiro de Alta Velocidade (HSC Passageiro),3
825,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Pesqueiro,1434
826,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Petroleiro,4
827,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Rebocador,29
828,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Roll-on / Roll-off Carga ,1
829,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Roll-on / Roll-off Passageiro (Ferry Boat),27
830,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Tanque (transporte de granéis líquidos),3
831,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Transporte Escolar,1
832,4º ,Capitania dos Portos do Amapá,CPSTNA,AP,Veleiro,5
833,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Alvarenga,1
834,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Apoio à Manobra,1
835,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Balsa,53
836,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Barcaça,192
837,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Batelão,2
838,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Bote,278
839,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Canoa,58
840,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Carga Geral,111
841,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Chata,17
842,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Draga,10
843,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Empurrador,14
844,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Escuna,4
845,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Flutuante,36
846,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Graneleiro,13
847,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Hovercraft,2
848,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Iate,8
849,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Jangada,5
850,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Jet Boat,12
851,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Lancha,1677
852,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Moto-Aquática/similar,920
853,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",94
854,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Outros,524
855,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Passageiro,272
856,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Passageiro / Carga Geral,88
857,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Pesqueiro,2649
858,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Pesquisa,6
859,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Petroleiro,31
860,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Petroleiro e Químico,2
861,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Plataforma Auto-Elevável,2
862,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Plataforma Fixa,1
863,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Químico,2
864,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Rebocador,24
865,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Roll-on / Roll-off Passageiro (Ferry Boat),10
866,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Saveiro,1
867,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Sonda,1
868,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Supridor (Supply),3
869,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Tanque (transporte de granéis líquidos),6
870,4º ,Capitania dos Portos do Maranhão,CPLUIZ,MA,Veleiro,69
871,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Balsa,43
872,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Barcaça,4
873,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Bote,115
874,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Canoa,309
875,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Carga Geral,11
876,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Chata,9
877,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Draga,20
878,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Empurrador,3
879,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Flutuante,18
880,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Iate,2
881,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Jangada,33
882,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Jet Boat,32
883,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Lancha,871
884,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Moto-Aquática/similar,824
885,4º ,Capitania dos Portos do Piauí,CPPARN,PI,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",13
886,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Outros,1083
887,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Passageiro,4
888,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Passageiro / Carga Geral,12
889,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Pesqueiro,369
890,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Rebocador,7
891,4º ,Capitania dos Portos do Piauí,CPPARN,PI,Veleiro,3
892,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Alvarenga,1
893,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Apoio a Mergulho,4
894,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Apoio a ROV,1
895,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Balsa,579
896,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Barcaça,86
897,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Batelão,7
898,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Bote,86
899,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Canoa,154
900,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Carga Geral,765
901,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Curral,4
902,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Dique Flutuante,3
903,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Draga,77
904,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Empurrador,157
905,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Escuna,1
906,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Flutuante,127
907,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Graneleiro,4
908,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Iate,82
909,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Jet Boat,3
910,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Lançador de Linhas,1
911,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Lancha,2514
912,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Laser,1
913,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Moto-Aquática/similar,473
914,4º ,Capitania Fluvial de Santarém,CFAREM,PA,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",19
915,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Multipurpose,2
916,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Outros,108
917,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Passageiro,1574
918,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Passageiro / Carga Geral,2285
919,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Passageiro de Alta Velocidade (HSC Passageiro),5
920,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Pesqueiro,3200
921,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Petroleiro,28
922,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Rebocador,71
923,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Roll-on / Roll-off Carga ,3
924,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Roll-on / Roll-off Passageiro (Ferry Boat),30
925,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Tanque (transporte de granéis líquidos),27
926,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Transporte de Gases Liquefeitos,1
927,4º ,Capitania Fluvial de Santarém,CFAREM,PA,Veleiro,5
928,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Anfíbia,2
929,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Balsa,2
930,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Barcaça,1
931,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Bote,2024
932,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Caiaque,6
933,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Caique,4
934,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Canoa,164
935,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Chata,4
936,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Draga,42
937,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Empurrador,1
938,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Flutuante,1
939,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Hovercraft,1
940,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Jangada,4
941,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Jet Boat,4
942,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Lancha,936
943,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Moto-Aquática/similar,837
944,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",2
945,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Outros,439
946,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Passageiro,3
947,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Passageiro / Carga Geral,1
948,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Pesqueiro,20
949,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Traineira,3
950,5º ,Agência da Capitania dos Portos em Tramandaí,AGNDAI,RS,Veleiro,18
951,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Alvarenga,2
952,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Anfíbia,1
953,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Balsa,200
954,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Barcaça,10
955,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Batelão,6
956,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Bote,6334
957,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Caiaque,57
958,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Caique,6
959,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Canoa,685
960,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Chata,46
961,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Draga,25
962,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Escuna,43
963,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Flutuante,54
964,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Hovercraft,2
965,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Iate,8
966,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Jet Boat,27
967,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Lançador de Linhas,6
968,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Lancha,6748
969,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Laser,1
970,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Manuseio de Âncora (AHTS),1
971,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Moto-Aquática/similar,3775
972,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",31
973,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Oceonagráfico,1
974,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Outros,2079
975,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Passageiro,18
976,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Passageiro / Carga Geral,1
977,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Pesqueiro,1813
978,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Pesquisa,3
979,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Rebocador,15
980,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Saveiro,2
981,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Traineira,12
982,5º ,Capitania dos Portos de Santa Catarina,CPFPOL,SC,Veleiro,542
983,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Apoio a Mergulho,3
984,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Balsa,29
985,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Barcaça,10
986,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Batelão,2
987,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Bote,6913
988,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Cábrea,2
989,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Caiaque,6
990,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Caique,288
991,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Canoa,324
992,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Carga Geral,5
993,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Chata,5
994,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Draga,80
995,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Empurrador,4
996,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Escuna,12
997,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,"Floating, Production, Storage and Off-Loading Unit (FPSO)",2
998,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Flutuante,5
999,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Hovercraft,1
1000,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Iate,7
1001,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Jet Boat,5
1002,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Lancha,1189
1003,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Laser,2
1004,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,Moto-Aquática/similar,584
1005,5º ,Capitania dos Portos do Rio Grande do Sul,CPGRAN,RS,"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",3
